coords,sentiment
11.33877/124.552177,1
15.42119/120.172684,-1
11.33877/124.552177,1
7.90923/123.819839,0
14.24251/121.053047,2
14.24251/121.053047,2
11.33877/124.552177,-2
10.62223/125.149437,2
13.64883/123.375648,1
15.42119/120.172684,1
10.84919/122.650482,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.477714/122.890266,-2
11.477714/122.890266,-2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,1
11.47454/124.518044,-1
11.86194/123.133888,1
11.33877/124.552177,-2
10.84919/122.650482,2
11.33877/124.552177,1
11.33877/124.552177,-2
15.42119/120.172684,2
11.07625/122.735077,-1
11.33877/124.552177,2
8.07234/122.474297,2
11.47454/124.518044,-2
11.1829/125.568336,-2
11.33877/124.552177,2
9.96/125.61573,-2
11.47454/124.518044,-1
11.33877/124.552177,-1
11.1829/125.568336,-2
11.1829/125.568336,-2
15.42119/120.172684,1
14.04749/120.801361,-1
14.24251/121.053047,2
14.19444/121.370506,-1
7.8764/123.877243,2
11.24989/122.579987,-2
11.33877/124.552177,-1
10.62223/125.149437,-1
11.33877/124.552177,1
10.62223/125.149437,0
11.07625/122.735077,1
11.07625/122.735077,1
15.42119/120.172684,2
9.84158/126.124962,1
11.33877/124.552177,-1
10.62223/125.149437,0
11.82996/122.101677,0
11.07625/122.735077,0
15.42119/120.172684,2
15.42119/120.172684,1
11.92847/121.966148,2
10.62223/125.149437,0
15.42119/120.172684,2
9.84158/126.124962,1
10.62223/125.149437,0
11.33877/124.552177,1
7.44716/126.557716,-2
11.33877/124.552177,-2
11.26843/122.888893,-1
11.33877/124.552177,0
12.09032/125.47921,-2
11.33877/124.552177,0
11.33877/124.552177,1
9.84158/126.124962,2
15.42119/120.172684,2
11.33877/124.552177,-2
12.09032/125.47921,-1
12.09032/125.47921,-1
11.36809/125.608093,-2
11.36809/125.608093,-2
15.42119/120.172684,2
10.62223/125.149437,-1
11.36809/125.608093,-2
11.33877/124.552177,1
10.84919/122.650482,1
11.36809/125.608093,-2
11.36809/125.608093,-1
11.33877/124.552177,-2
11.47454/124.518044,-2
11.36809/125.608093,-2
13.87362/122.396873,0
11.33877/124.552177,-2
12.34832/125.289948,2
10.62223/125.149437,2
11.69361/124.831947,-1
9.84158/126.124962,2
9.84158/126.124962,-1
11.33877/124.552177,-1
10.62223/125.149437,1
11.33877/124.552177,-1
11.33877/124.552177,-2
10.84919/122.650482,1
7.44716/126.557716,-2
11.48399/122.784111,0
11.33877/124.552177,2
11.02511/122.477379,0
11.33877/124.552177,-2
10.84919/122.650482,2
10.62223/125.149437,-2
10.84919/122.650482,-2
10.84919/122.650482,1
11.33877/124.552177,1
11.48399/122.784111,-1
11.33877/124.552177,1
11.36809/125.608093,-2
11.477714/122.890266,-2
12.65942/124.040123,-1
10.84919/122.650482,1
14.24251/121.053047,-2
11.33877/124.552177,1
11.36809/125.608093,-1
11.48514/122.728973,2
17.82028/120.525146,-1
11.3446/122.752563,0
11.33877/124.552177,2
12.09032/125.47921,-1
11.36809/125.608093,-2
15.42119/120.172684,-1
11.36809/125.608093,-2
11.48399/122.784111,2
11.48365/122.531723,0
11.33877/124.552177,-1
10.62223/125.149437,-2
11.36809/125.608093,-2
11.36809/125.608093,-1
10.62794/124.444077,0
11.33877/124.552177,-1
11.33877/124.552177,-2
10.09141/119.241386,-1
11.3446/122.752563,1
11.26843/122.888893,2
12.34832/125.289948,1
11.47002/122.654892,-1
11.24989/122.579987,0
15.42119/120.172684,2
12.09032/125.47921,-2
11.33877/124.552177,1
11.33877/124.552177,1
7.90923/123.819839,-1
11.26843/122.888893,1
7.44716/126.557716,-1
11.33877/124.552177,-2
11.48514/122.728973,2
7.91623/124.600487,-2
7.91623/124.600487,-1
12.09032/125.47921,-2
12.19631/121.976471,-2
11.13913/123.10968,2
11.33877/124.552177,-1
10.84919/122.650482,-2
11.11/125.439079,-2
12.27187/123.733131,-1
11.33877/124.552177,-2
13.52603/123.351013,1
11.24989/122.579987,-1
15.42119/120.172684,1
11.33877/124.552177,2
11.33877/124.552177,-1
12.19128/123.900108,-2
11.11/125.439079,-1
11.33877/124.552177,1
10.84919/122.650482,0
11.11/125.439079,-2
11.33877/124.552177,0
10.62794/124.444077,0
11.47002/122.654892,-1
11.33877/124.552177,-2
12.09032/125.47921,-2
9.96/125.61573,-2
10.62223/125.149437,-2
10.84919/122.650482,1
17.48101/120.482536,-2
10.84919/122.650482,-1
11.33877/124.552177,2
8.18695/124.06572,1
11.33877/124.552177,1
11.07625/122.735077,-2
10.84919/122.650482,1
15.42119/120.172684,0
10.84919/122.650482,-1
11.33877/124.552177,1
10.35489/124.894531,0
11.33877/124.552177,2
15.42119/120.172684,1
11.3446/122.752563,0
11.26843/122.888893,0
11.33877/124.552177,1
14.93031/121.080147,-2
11.33877/124.552177,2
11.477714/122.890266,1
11.33877/124.552177,-1
13.52603/123.351013,1
11.33877/124.552177,1
11.477714/122.890266,2
11.33877/124.552177,1
14.93031/121.080147,2
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,0
11.477714/122.890266,0
11.33877/124.552177,-1
11.33877/124.552177,2
10.84919/122.650482,-2
11.3446/122.752563,2
10.47458/122.705971,0
11.31033/122.663757,0
11.26843/122.888893,2
12.62532/122.284721,-1
11.24989/122.579987,2
11.21162/122.966721,2
11.33877/124.552177,0
15.42119/120.172684,0
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.26843/122.888893,0
11.33877/124.552177,-2
11.33877/124.552177,-2
10.46278/125.471657,1
11.33877/124.552177,2
11.24989/122.579987,-1
12.09032/125.47921,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.11755/125.253067,-1
12.62532/122.284721,-1
12.62532/122.284721,-1
12.31102/122.669533,-1
12.47393/122.072884,-1
12.19128/123.900108,-2
11.11755/125.253067,-2
7.44716/126.557716,-2
11.11755/125.253067,-2
11.33877/124.552177,-2
10.77604/125.957024,-2
11.11755/125.253067,-1
11.33877/124.552177,-1
11.11755/125.253067,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,0
11.47454/124.518044,0
11.11755/125.253067,-2
7.91623/124.600487,-1
14.635671/120.989517,-1
9.54399/125.6045,1
11.33877/124.552177,-1
11.13913/123.10968,-1
11.33877/124.552177,-1
16.69025/120.89521,1
9.54399/125.6045,0
11.13913/123.10968,-1
14.635671/120.989517,-1
11.33877/124.552177,0
11.33877/124.552177,-2
11.7579/122.283447,-1
14.635671/120.989517,-2
11.33877/124.552177,0
11.47454/124.518044,0
11.33877/124.552177,-2
11.33877/124.552177,-1
11.47454/124.518044,-1
11.477714/122.890266,1
11.33877/124.552177,-2
11.33877/124.552177,-2
10.37741/123.013786,2
11.33877/124.552177,-2
11.33877/124.552177,0
11.33877/124.552177,-1
14.635671/120.989517,-2
11.33877/124.552177,-1
11.4152/124.965118,-2
11.3446/122.752563,0
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,0
15.42119/120.172684,0
17.48101/120.482536,-2
11.33877/124.552177,-2
11.48399/122.784111,-1
11.69361/124.831947,-2
14.24251/121.053047,0
11.33877/124.552177,-2
9.9525/124.293747,-2
10.62223/125.149437,0
11.33877/124.552177,-2
11.64219/124.466873,-2
11.33877/124.552177,1
17.48101/120.482536,-1
12.19128/123.900108,-2
17.48101/120.482536,-2
11.33877/124.552177,1
11.33877/124.552177,0
11.09056/123.649437,-2
9.12073/123.672142,-1
11.477714/122.890266,-2
11.33877/124.552177,0
17.560419/120.489349,0
11.33877/124.552177,0
11.33877/124.552177,-2
11.31701/125.249237,-2
11.33877/124.552177,-2
10.62223/125.149437,2
11.33877/124.552177,-2
11.33877/124.552177,-2
7.91623/124.600487,2
11.1346/125.013977,1
11.33877/124.552177,0
11.33877/124.552177,-1
11.69361/124.831947,-1
11.477714/122.890266,1
11.33877/124.552177,2
11.33877/124.552177,-1
15.42119/120.172684,0
11.33877/124.552177,-1
9.67585/124.082939,-1
11.33877/124.552177,0
11.31033/122.663757,0
11.33877/124.552177,-1
15.35778/120.739723,-1
17.48101/120.482536,-1
11.69361/124.831947,-1
11.31701/125.249237,-2
10.9444/122.484444,-1
11.33877/124.552177,0
10.84919/122.650482,2
14.19444/121.370506,-1
10.52433/124.939842,-1
11.33877/124.552177,2
11.31701/125.249237,-2
11.31701/125.249237,-1
18.004311/120.772751,0
8.38102/124.972893,1
11.33877/124.552177,1
11.31701/125.249237,-1
15.35778/120.739723,1
10.84919/122.650482,2
10.62794/124.444077,2
11.01818/124.916222,0
11.31701/125.249237,0
12.19128/123.900108,-2
11.31701/125.249237,-1
11.31701/125.249237,-2
12.65942/124.040123,-2
11.33877/124.552177,-2
11.33877/124.552177,-2
12.33166/125.163223,0
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,-2
12.09032/125.47921,-2
11.33877/124.552177,1
11.33877/124.552177,2
9.96/125.61573,-2
10.62223/125.149437,-2
11.33877/124.552177,-2
11.33877/124.552177,0
11.08107/125.030884,0
15.42119/120.172684,2
11.31701/125.249237,-1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,2
11.31701/125.249237,-2
10.84919/122.650482,1
13.51391/123.546867,0
10.62223/125.149437,-1
11.33877/124.552177,-2
11.33877/124.552177,1
11.21162/122.966721,1
10.62223/125.149437,-2
11.33877/124.552177,-2
10.84919/122.650482,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
10.84919/122.650482,-2
11.33877/124.552177,0
11.33877/124.552177,-1
9.37896/122.721046,-2
11.31701/125.249237,-2
11.08107/125.030884,0
14.061156/122.067551,-1
7.44716/126.557716,-2
11.31701/125.249237,-2
11.31701/125.249237,-1
11.33877/124.552177,1
10.84919/122.650482,1
11.33877/124.552177,1
11.31701/125.249237,-1
10.62223/125.149437,2
11.13913/123.10968,2
10.62223/125.149437,-1
11.33877/124.552177,-1
11.31701/125.249237,-1
11.31701/125.249237,-2
11.11755/125.253067,-1
11.38738/123.036667,0
11.31701/125.249237,-1
11.33877/124.552177,-1
13.95248/122.418083,-1
11.33877/124.552177,1
11.33877/124.552177,-1
10.62223/125.149437,-2
15.42119/120.172684,1
12.22356/125.217041,-2
11.33877/124.552177,-1
11.33877/124.552177,-1
11.3446/122.752563,0
11.33877/124.552177,-1
11.33877/124.552177,-2
18.004311/120.772751,-1
11.21162/122.966721,1
15.42119/120.172684,2
10.84919/122.650482,-1
15.42119/120.172684,0
11.33877/124.552177,2
10.62223/125.149437,0
11.13913/123.10968,2
11.33877/124.552177,1
11.38738/123.036667,0
18.004311/120.772751,-2
10.84919/122.650482,-1
11.477714/122.890266,-1
18.004311/120.772751,-2
10.84919/122.650482,0
10.62223/125.149437,-2
10.84919/122.650482,0
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,1
11.08107/125.030884,0
14.19707/121.2938,0
11.33877/124.552177,0
11.21162/122.966721,-1
14.19707/121.2938,0
10.62794/124.444077,-2
8.18695/124.06572,-1
11.21162/122.966721,1
11.33877/124.552177,-2
11.09056/123.649437,-1
10.62223/125.149437,2
10.84919/122.650482,-2
11.33877/124.552177,-1
14.19707/121.2938,-1
11.33877/124.552177,-1
11.33877/124.552177,0
11.11755/125.253067,-2
14.19707/121.2938,-1
10.62794/124.444077,-1
11.21162/122.966721,1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
10.62223/125.149437,-1
11.21162/122.966721,1
11.38738/123.036667,0
10.62223/125.149437,0
10.35489/124.894531,0
11.33877/124.552177,0
15.42119/120.172684,2
11.08107/125.030884,-2
12.27187/123.733131,-1
11.33877/124.552177,-2
10.62223/125.149437,-2
11.24989/122.579987,2
11.33877/124.552177,-1
15.42119/120.172684,0
11.33877/124.552177,-1
14.19707/121.2938,-2
11.33877/124.552177,1
11.33877/124.552177,1
14.19444/121.370506,0
11.33877/124.552177,-1
12.19128/123.900108,-1
14.19707/121.2938,-2
14.19707/121.2938,-1
15.42119/120.172684,2
11.33877/124.552177,0
11.33877/124.552177,-2
11.1346/125.013977,0
7.44716/126.557716,-1
11.33877/124.552177,-2
10.86586/124.501259,1
14.19707/121.2938,-1
10.62223/125.149437,2
11.33877/124.552177,-1
12.09032/125.47921,1
11.33877/124.552177,0
11.13913/123.10968,-2
11.33877/124.552177,0
15.42119/120.172684,-2
10.62223/125.149437,0
10.62223/125.149437,0
11.69361/124.831947,1
10.62223/125.149437,0
11.33877/124.552177,-1
13.07567/124.134247,-1
10.62223/125.149437,1
11.33877/124.552177,0
11.33877/124.552177,1
11.08107/125.030884,-1
11.33877/124.552177,0
12.09032/125.47921,0
14.19707/121.2938,-2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,-1
10.62794/124.444077,-1
11.33877/124.552177,0
11.08107/125.030884,-2
17.48101/120.482536,1
18.004311/120.772751,-1
11.33877/124.552177,1
10.62794/124.444077,-2
15.42119/120.172684,2
10.62223/125.149437,-2
10.84919/122.650482,-2
11.33877/124.552177,-1
14.19707/121.2938,-2
14.19707/121.2938,-2
14.24251/121.053047,-2
14.19707/121.2938,-2
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,-2
14.19707/121.2938,-2
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,2
17.308189/120.481529,-1
9.96/125.61573,0
10.77604/125.957024,-1
11.47454/124.518044,0
11.33877/124.552177,0
11.33877/124.552177,0
11.33877/124.552177,1
12.09032/125.47921,-2
11.33877/124.552177,0
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,-1
11.08107/125.030884,-2
11.33877/124.552177,2
15.42119/120.172684,-1
11.33877/124.552177,0
12.65942/124.040123,-1
10.62223/125.149437,2
11.33877/124.552177,0
11.02292/119.291801,-2
14.635671/120.989517,0
10.62223/125.149437,-2
10.62223/125.149437,-1
14.635671/120.989517,-1
11.33877/124.552177,2
10.84919/122.650482,-1
11.33877/124.552177,0
11.33877/124.552177,1
14.635671/120.989517,-2
14.19707/121.2938,-2
14.24251/121.053047,1
11.33877/124.552177,-1
11.33877/124.552177,0
11.33877/124.552177,1
11.11/125.439079,0
14.19707/121.2938,-2
14.19707/121.2938,-2
12.09032/125.47921,1
11.08107/125.030884,-1
10.62794/124.444077,-1
11.33877/124.552177,-2
10.62223/125.149437,2
11.33877/124.552177,-1
11.08107/125.030884,-1
10.62223/125.149437,-2
11.33877/124.552177,0
10.62794/124.444077,-2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
7.91623/124.600487,1
11.33877/124.552177,-1
10.62794/124.444077,-1
11.33877/124.552177,0
10.62223/125.149437,-1
11.33877/124.552177,1
11.33877/124.552177,2
12.09032/125.47921,1
10.86586/124.501259,0
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,1
15.42119/120.172684,2
15.42119/120.172684,2
11.33877/124.552177,-1
11.33877/124.552177,1
10.62223/125.149437,2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
10.62223/125.149437,2
18.004311/120.772751,-1
10.86586/124.501259,0
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-1
11.69361/124.831947,-1
11.33877/124.552177,1
10.62223/125.149437,-2
11.33877/124.552177,0
12.09032/125.47921,-2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
10.62223/125.149437,2
10.62794/124.444077,1
10.62223/125.149437,1
14.93031/121.080147,-1
10.62794/124.444077,-2
11.33877/124.552177,2
10.90374/125.019707,-1
11.33877/124.552177,1
10.90374/125.019707,-2
10.62223/125.149437,-1
15.42119/120.172684,0
11.33877/124.552177,2
17.529699/121.841339,-1
11.33877/124.552177,-1
10.62794/124.444077,-1
11.69361/124.831947,-2
7.91623/124.600487,-2
11.33877/124.552177,0
11.33877/124.552177,2
10.62223/125.149437,1
11.33877/124.552177,1
13.07567/124.134247,-1
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,-2
10.62794/124.444077,-1
11.33877/124.552177,2
11.33877/124.552177,-2
10.62223/125.149437,1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,0
11.33877/124.552177,-1
11.12167/125.335831,-2
11.12167/125.335831,-1
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,1
10.9444/122.484444,0
9.5981/124.24334,0
10.62223/125.149437,0
11.33877/124.552177,-1
11.33877/124.552177,-1
12.09032/125.47921,-1
12.09032/125.47921,-1
11.12167/125.335831,-1
11.02292/119.291801,-2
11.12167/125.335831,-1
15.42119/120.172684,0
11.33877/124.552177,-1
11.33877/124.552177,-2
11.69361/124.831947,-1
11.02292/119.291801,-2
11.11/125.439079,-1
11.33877/124.552177,0
7.44716/126.557716,-2
11.33877/124.552177,-2
12.09032/125.47921,0
10.77604/125.957024,-2
10.06127/122.805679,0
11.33877/124.552177,-1
11.33877/124.552177,-2
10.9444/122.484444,-1
12.09032/125.47921,0
10.9444/122.484444,-1
10.9444/122.484444,-1
10.9444/122.484444,-1
11.69361/124.831947,0
10.77604/125.957024,-1
10.77604/125.957024,-2
9.5981/124.24334,-1
10.12683/123.68766,1
11.47454/124.518044,0
11.33877/124.552177,-2
10.62794/124.444077,0
9.96/125.61573,-1
10.77604/125.957024,-1
10.77604/125.957024,-1
11.33877/124.552177,2
10.77604/125.957024,-1
10.77604/125.957024,-1
10.77604/125.957024,-2
10.77604/125.957024,-1
15.42119/120.172684,1
13.07567/124.134247,-2
7.44716/126.557716,0
10.77604/125.957024,-1
11.69361/124.831947,-1
10.9444/122.484444,-1
10.9444/122.484444,-1
11.69361/124.831947,-1
10.77604/125.957024,-2
11.69361/124.831947,-1
9.96/125.61573,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,-2
10.77604/125.957024,-1
11.09056/123.649437,-2
11.33877/124.552177,-2
11.33877/124.552177,0
11.47454/124.518044,0
9.96/125.61573,0
10.77604/125.957024,-2
10.77604/125.957024,-2
11.69361/124.831947,-1
9.96/125.61573,0
11.33877/124.552177,1
10.77604/125.957024,-2
11.69361/124.831947,1
10.77604/125.957024,0
10.77604/125.957024,-2
9.96/125.61573,-2
11.69361/124.831947,0
11.69361/124.831947,0
11.69361/124.831947,-2
9.96/125.61573,-2
10.77604/125.957024,-1
17.48101/120.482536,-1
17.48101/120.482536,-1
9.54399/125.6045,0
7.44716/126.557716,1
11.02292/119.291801,-2
9.96/125.61573,-2
9.96/125.61573,0
10.77604/125.957024,-1
10.77604/125.957024,-2
17.48101/120.482536,-1
9.96/125.61573,0
11.33877/124.552177,0
11.69361/124.831947,-1
10.77604/125.957024,-2
10.77604/125.957024,-2
10.99545/125.040108,-2
10.77604/125.957024,-2
10.99545/125.040108,-2
11.33877/124.552177,1
14.04749/120.801361,0
9.96/125.61573,0
11.69361/124.831947,-2
10.77604/125.957024,-2
14.82681/120.624443,-2
10.77604/125.957024,-2
10.77604/125.957024,-2
10.77604/125.957024,-2
11.201722/122.1762038,-2
13.0447071/123.6577761,1
14.4333272/120.9741053,-1
10.2594754/123.7647381,0
10.5470262/124.7434968,2
45.452256/73.687049,-1
14.542797/121.0518106,2
10.9533981/124.4758848,0
10.3360323/124.7224949,0
10.5470262/124.7434968,-1
11.5046982/124.3892082,-1
8.7765333/125.4480073,0
14.5893763/120.989705,-2
14.5893763/120.989705,-1
